P (kPa);T (K);cp (kJ/kg K);Pr; K  (W/m K);Mμ;Viscosidade cinemática ν (cSt)
2240;317.2;1.7169471068;0.007949089484101710;0.13676843455332800;0.0006332079308317700;0.7493960787932100
2240;321.5;1.7359477184;0.007703312076486880;0.13576468917111200;0.0006024592552842330;0.7160444945350210
2240;325.8;1.7549243052;0.007473287866063370;0.13476289757552800;0.0005738834001223310;0.6850116699285890
2240;330.1;1.7739177864;0.007257812052529250;0.13376276158585000;0.0005472773262858860;0.6560831060293160
2240;334.4;1.7927951374;0.007055118956764150;0.13276398633944400;0.0005224610984578230;0.6290685482126470
2240;338.7;1.8117274458;0.006864790214466650;0.13176627968079200;0.0004992737011516200;0.6037974341050670
2240;343;1.8307583678;0.006685979645439070;0.13076935156158800;0.0004775732495179180;0.5801195629762720
2240;347.3;1.8496506579;0.006516913119333700;0.12977291344873700;0.0004572316391629490;0.5578990013938600
2240;351.6;1.8685677991;0.006357395272566980;0.12877667773716800;0.0004381346198141860;0.5370144756675230
2240;355.9;1.8875413547;0.006206804544571350;0.12778035716440500;0.0004201803047127890;0.5173578517234630
2240;360.2;1.9063832329;0.006063857055886630;0.12678366422380900;0.0004032756916809490;0.4988301166870130
2240;364.5;1.9254253114;0.005929032611863500;0.12578631057337600;0.0003873383886227450;0.4813437188856580
2240;368.8;1.9443377559;0.005800740742331750;0.12478800643691300;0.0003722927618319140;0.4648180123403410
2240;373.1;1.9632078919;0.005678785818818840;0.12378845999430400;0.0003580711722136470;0.4491809571336490
2240;377.4;1.9822221443;0.005563250331836450;0.12278737675743600;0.0003446116856600630;0.4343664259528630
2240;381.7;2.0011369806;0.005453034058908310;0.12178445892819200;0.0003318587427082330;0.4203151828525670
2240;386;2.0201769032;0.005348374764832150;0.12077940473467900;0.0003197608681537900;0.4069721247987530
2240;390.3;2.0390814186;0.005248239454375860;0.11977190774163100;0.0003082719728546630;0.3942880379618200
2240;394.6;2.0580777292;0.005152909379454080;0.11876165613056200;0.0002973493387084950;0.3822171441258340
2240;398.9;2.0772001702;0.005062165543107070;0.11774833194493900;0.0002869543134422930;0.3707180754700750
2240;403.2;2.0961947513;0.004975114044298540;0.11673161029513900;0.0002770511057882250;0.3597524134734550
2240;407.5;2.115281466;0.004892049263722860;0.11571115851751000;0.0002676072650050830;0.3492853824386580
2240;411.8;2.1343041334;0.004812374629478560;0.11468663528122400;0.0002585925057853290;0.3392843947304630
2240;416.1;2.1535387643;0.004736504666568820;0.11365768963594000;0.0002499793299616360;0.3297199211098140
2240;420.4;2.1727134313;0.004663628876379250;0.11262395999248600;0.0002417421204432440;0.3205643638021460
2240;424.7;2.1920041948;0.004593952628487980;0.11158507302785800;0.0002338574628446220;0.3117925309315500
2240;429;2.2113303052;0.004527131341716330;0.11054064250472100;0.0002263035992590600;0.3033809638459050
