P (kPa);T (K);cp (kJ/kg K);Pr;Condutividade térmica (W/m K);μ(cP);Viscosidade cinemática ν (cSt)
2160;370;1.997895370892110;0.004650689494195980;0.1217814337115010;0.000283482129545805;0.3539033050776070
2160;374;2.014587950927980;0.004577692382510600;0.1208118094459630;0.000274517327259582;0.3443162028682450
2160;378;2.031310466364400;0.004507832917394060;0.1198398586584410;0.000265945589618924;0.3351433348121210
2160;382;2.047961140213380;0.004440711830709370;0.1188653019379260;0.000257742465036027;0.3263592146496260
2160;386;2.064736791037890;0.004376595435569630;0.1178878544855050;0.000249885335549721;0.3179402454662420
2160;390;2.081344503404340;0.004314708730117770;0.1169072254515810;0.000242353260329912;0.3098645610947330
2160;394;2.098046325029080;0.004255469222020840;0.1159231172359370;0.000235126961513305;0.3021120462485810
2160;398;2.114836254932510;0.004198721386927850;0.1149352247457560;0.000228188345611072;0.2946637580701190
2160;402;2.131594177252140;0.004144102595614120;0.1139432346062270;0.000221520803220171;0.2875023408303340
2160;406;2.148508415880280;0.004091864628274900;0.1129468243177270;0.000215108822421033;0.2806115584261860
2160;410;2.165376514130530;0.004041506521983620;0.1119456613529250;0.000208937853307826;0.2739761422425370
2160;414;2.182173805248760;0.003992894430795260;0.1109394021863390;0.000202994518621807;0.2675820908444200
2160;418;2.199192106293710;0.003946470046316000;0.1099276912479560;0.000197266232235554;0.2614161948880090
2160;422;2.216160391837220;0.003901649616376370;0.1089101597914680;0.000191741213648169;0.2554660748556140
2160;426;2.233256918155860;0.003858669952418530;0.1078864246664390;0.000186408514734622;0.2497202367742610
2160;430;2.250461067117240;0.003817410701046680;0.1068560869822640;0.000181257776852186;0.2441677669530860
2160;434;2.267718354595450;0.003777705119969510;0.1058187306501130;0.000176279368976982;0.2387985330524680
2160;438;2.285025203017540;0.003739480596331860;0.1047739207870720;0.000171464211102559;0.2336029635447200
2160;442;2.302516038005980;0.003702891574702990;0.1037212019643820;0.000166803774016092;0.2285720616860480
2160;446;2.320104635433770;0.003667732860830250;0.1026600962789810;0.000162290011781309;0.2236973275959860
2160;450;2.337911882748610;0.003634135675383810;0.1015901012242880;0.000157915366207468;0.2189707777854120
2160;454;2.355818834280600;0.003601856139786670;0.1005106873324280;0.000153672698008222;0.2143848635380730
2160;458;2.373915209151760;0.003570978498870850;0.0994212955555137;0.000149555176777136;0.2099323289413630
2160;462;2.392241284712550;0.003541510766372470;0.0983213343482292;0.000145556414557155;0.2056064081159550
2160;466;2.410769723394040;0.003513362701153180;0.0972101764074541;0.000141670357250727;0.2014006861690540
2160;470;2.429563024127160;0.003486577460446600;0.0960871550168835;0.000137891178616641;0.1973089590855470
2160;474;2.448625435678170;0.003461114103306450;0.0949515599351426;0.000134213333911338;0.1933253186025660
2160;478;2.467982091217410;0.003436966559694830;0.0938026327544274;0.000130631625381556;0.1894442582792670
2160;482;2.487706358051320;0.003414192124539220;0.0926395616426804;0.000127140914665251;0.1856602691423090
2160;486;2.507858915843160;0.003392832676180840;0.0914614753650931;0.000123736419249911;0.1819682781505550
2160;490;2.528399639771530;0.003372791030255610;0.0902674364594544;0.000120413401119661;0.1783632060149960
2160;494;2.549472213511180;0.003354221052823510;0.0890564334134321;0.000117167373804523;0.1748402804774180
2160;498;2.571121910416730;0.003337139719438780;0.0878273716588121;0.000113993898628101;0.1713947472172790
2160;502;2.593278814105550;0.003321419002464500;0.0865790631560948;0.000110888711240026;0.1680220696257220
2160;506;2.616275725646550;0.003307446804035880;0.0853102142900440;0.000107847576170701;0.1647177244411680
2160;510;2.640005772278230;0.003295043781419030;0.0840194117293116;0.000104866301068063;0.1614772357884060
2160;514;2.664628236109440;0.003284370820395760;0.0827051058163044;0.000101940763277890;0.1582962327796340
2160;518;2.690421245613530;0.003275724961416150;0.0813655909404267;0.000099066753088753;0.1551702264063850
2160;522;2.717351734150050;0.003269017598143100;0.0799989821995162;0.000096240055108491;0.1520947552880000
2160;526;2.745669263766720;0.003264500668675150;0.0786031874576788;0.000093456324620675;0.1490652175237140
2160;530;2.775648663394530;0.003262444891606100;0.0771758736442653;0.000090711060822103;0.1460768558370500
2160;534;2.807567938928390;0.003263112610628040;0.0757144257814869;0.000087999543714811;0.1431246910484440
2160;538;2.841797517746410;0.003266858493045370;0.0742158967375229;0.000085316716290267;0.1402033723452370
2160;542;2.878895996266670;0.003274232544597170;0.0726769450186842;0.000082657108464724;0.1373071011940570
2160;546;2.919272600133900;0.003285584746430080;0.0710937569480227;0.000080014645903270;0.1344293746580240
2160;550;2.963865781580270;0.003301827418023840;0.0694619481886089;0.000077382507151257;0.1315628165163380
2160;554;3.013760194645640;0.003323972815167600;0.0677764375352285;0.000074752807564536;0.1286987289619590
2160;558;3.070506075132920;0.003353460434926770;0.0660312828572438;0.000072116220945643;0.1258265430338830
2160;562;3.136262863391760;0.003392261187354410;0.0642194644252047;0.000069461395977094;0.1229329175481430
2160;566;3.214353481130380;0.003443389285362350;0.0623325935588675;0.000066774045247186;0.1200002484976770
2160;570;3.310018112851070;0.003511541243273190;0.0603605127547480;0.000064035429045083;0.1170040386589570
2160;574;3.432484547226390;0.003604956888181660;0.0582907337923800;0.000061219673216534;0.1139079721104960
2520;265;1.550491240173060;0.008871226312640470;0.1472930418287800;0.000842745753400374;0.9431743906606380
2520;269.5;1.570171048217630;0.008512224523960010;0.1461640692552770;0.000792385884486205;0.8905824070687350
2520;274;1.589750856967940;0.008182060108889720;0.1450412526822910;0.000746491969174702;0.8425924965488570
2520;278.5;1.609246610368470;0.007877683369696390;0.1439241233438040;0.000704546255159744;0.7986758123700800
2520;283;1.628824113924770;0.007597131568887020;0.1428122271892510;0.000666102171699943;0.7583756009997000
2520;287.5;1.648264648257200;0.007336959122934440;0.1417051235120080;0.000630775342914315;0.7212984608804440
2520;292;1.667631730334170;0.007095403411608080;0.1406023836616360;0.000598231980458353;0.6871023680651470
2520;296.5;1.686952530548820;0.006870752917448200;0.1395035898300270;0.000568181190319164;0.6554889060997480
2520;301;1.706281142254170;0.006661610974561020;0.1384083339025400;0.000540369610413546;0.6261979948768170
2520;305.5;1.725527068951230;0.006466192896736180;0.1373162163659310;0.000514575029768581;0.5990012973663070
2520;310;1.744702436356070;0.006283301894058170;0.1362268452655210;0.000490601937065060;0.5736977082625450
2520;314.5;1.763819375831300;0.006111875171648180;0.1351398352046030;0.000468277996491767;0.5501098127927930
2520;319;1.782958978277000;0.005951191295876720;0.1340548063795380;0.000447450449851237;0.5280801647042920
2520;323.5;1.802024159729450;0.005800032052099810;0.1329713836443470;0.000427984432386891;0.5074697332785510
