P (kPa);T (K);cp (kJ/kg K);Pr;Condutividade térmica (W/m K);Viscosidade absoluta μ(cP);Viscosidade cinemática ν (cSt);;;Nome no Hysys: 13-ClHexaFC3
780;368.4;1.149973215871960000;0.00623792384032086;0.0571502147010730;0.0003100060782658890;0.2272931738607420;;;
780;369.8;1.154868044594920000;0.00627520385236520;0.0566991261547264;0.0003080859120980170;0.2268138584535270;;;
780;371.2;1.159968832727710000;0.00631424827385029;0.0562453716707659;0.0003061696409110060;0.2263434692830800;;;
780;372.6;1.165201864881020000;0.00635468358554879;0.0557888870858545;0.0003042569152227670;0.2258822173413470;;;
780;374;1.170594518750410000;0.00639668385147891;0.0553296054843709;0.0003023472160867320;0.2254302183194930;;;
780;375.4;1.176166363598690000;0.00644038218459695;0.0548674570265862;0.0003004399748917950;0.2249875827885890;;;
780;376.8;1.181944455733750000;0.00648595681645166;0.0544023687626294;0.0002985346839230640;0.2245545020376210;;;
780;378.2;1.187939393460870000;0.00653349331561170;0.0539342644307661;0.0002966305840858130;0.2241310170556820;;;
780;379.6;1.194142648094730000;0.00658297714952783;0.0534630642383308;0.0002947270418540070;0.2237173047293650;;;
780;381;1.200620235887860000;0.00663481201103061;0.0529886846234379;0.0002928236178930570;0.2233137372173570;;;
780;382.4;1.207383460156080000;0.00668909635764273;0.0525110379953550;0.0002909195003759300;0.2229204568068640;;;
1040;275;0.936872240337113000;0.00525706485261267;0.0831878424055660;0.0004667913762901350;0.2804956885002370;;;
1040;276.7;0.940081244003080000;0.00526011662606398;0.0827645675993800;0.0004630996319261410;0.2790627749669160;;;
1040;278.4;0.943282317321611000;0.00526348425154595;0.0823398983931079;0.0004594539201122880;0.2776523940855870;;;
1040;280.1;0.946484344983714000;0.00526722167694495;0.0819138162287212;0.0004558535286588700;0.2762643225791880;;;
1040;281.8;0.949690905772052000;0.00527134549929000;0.0814863021115977;0.0004522971098060150;0.2748979501842340;;;
1040;283.5;0.952919331876096000;0.00527595170797942;0.0810573365956990;0.0004487836264318190;0.2735528508436800;;;
1040;285.2;0.956132248007841000;0.00528083654168325;0.0806268997680864;0.0004453123293614210;0.2722287715265690;;;
1040;286.9;0.959360695371949000;0.00528616798862030;0.0801949712327398;0.0004418818613519260;0.2709250854337600;;;
1040;288.6;0.962597419737305000;0.00529191050387113;0.0797615300936390;0.0004384915960220950;0.2696416098672580;;;
1040;290.3;0.965835065028430000;0.00529802113342266;0.0793265549370677;0.0004351403047122000;0.2683777906214170;;;
1040;292;0.969091287935502000;0.00530459920552806;0.0788900238130935;0.0004318271795988710;0.2671333293846870;;;
1040;293.7;0.972353212645557000;0.00531157450866349;0.0784519142161777;0.0004285512530706280;0.2659078273595810;;;
1040;295.4;0.975616221733966000;0.00531892557948637;0.0780122030648640;0.0004253118112943160;0.2647010411804240;;;
1040;297.1;0.978881289913024000;0.00532665793164987;0.0775708666804899;0.0004221078454827750;0.2635125427817250;;;
1040;298.8;0.982177711600217000;0.00533493226475239;0.0771278807648655;0.0004189384616904650;0.2623419732336040;;;
1040;300.5;0.985461405848590000;0.00534351334503706;0.0766832203768534;0.0004158030025247790;0.2611891203229810;;;
1040;302.2;0.988758910739933000;0.00535254788887926;0.0762368599077861;0.0004127006483803350;0.2600536696480040;;;
1040;303.9;0.992077142796849000;0.00536207526923750;0.0757887730556461;0.0004096305500415610;0.2589352869161280;;;
1040;305.6;0.995414535991029000;0.00537208846649718;0.0753389327979335;0.0004065918241379110;0.2578336148297950;;;
1040;307.3;0.998775278489210000;0.00538261787501406;0.0748873113631357;0.0004035840588332230;0.2567485945104310;;;
1040;309;1.002134819829740000;0.00539353038205347;0.0744338802007119;0.0004006061723160910;0.2556797418761970;;;
1040;310.7;1.005505930845330000;0.00540490198861004;0.0739786099494939;0.0003976576604520610;0.2546269397395400;;;
1040;312.4;1.008907370368420000;0.00541683682831937;0.0735214704044009;0.0003947377333692410;0.2535898892589500;;;
1040;314.1;1.012311649161470000;0.00542919159056942;0.0730624304813545;0.0003918456667810820;0.2525683335311210;;;
1040;315.8;1.015749306608250000;0.00544213570519694;0.0726014581802743;0.0003889808097743710;0.2515620634717090;;;
1040;317.5;1.019198670964830000;0.00545555952668062;0.0721385205460219;0.0003861425688800530;0.2505709084483890;;;
1040;319.2;1.022705270047450000;0.00546971103151863;0.0716735836271522;0.0003833301758733660;0.2495945859304390;;;
1040;320.9;1.026197697561000000;0.00548421516900785;0.0712066124323177;0.0003805430327539460;0.2486329251668690;;;
1040;322.6;1.029748137464830000;0.00549946417552588;0.0707375708841610;0.0003777804715422000;0.2476857118450510;;;
1040;324.3;1.033293832084610000;0.00551512995791629;0.0702664217705125;0.0003750418668040620;0.2467527616036150;;;
1040;326;1.036889796412840000;0.00553151587405631;0.0697931266926991;0.0003723267308987740;0.2458339837063530;;;
1040;327.7;1.040508660951550000;0.00554847989453121;0.0693176460107487;0.0003696341795705430;0.2449290288877630;;;
1040;329.4;1.044173394617170000;0.00556615721616719;0.0688399387852592;0.0003669638816746170;0.2440379166001610;;;
1040;331.1;1.047844782687940000;0.00558434579983050;0.0683599627156777;0.0003643150941579410;0.2431603979414340;;;
1040;332.8;1.051572851544980000;0.00560332310409846;0.0678776740747132;0.0003616872942625950;0.2422963746418720;;;
1040;334.5;1.055342438975140000;0.00562301801322775;0.0673930276385813;0.0003590798534982680;0.2414456830344420;;;
1040;336.2;1.059159352554330000;0.00564347166882615;0.0669059766127476;0.0003564921393353960;0.2406081619210340;;;
1040;337.9;1.063029596501690000;0.00566472818061028;0.0664164725528106;0.0003539236019060710;0.2397837118460190;;;
1040;339.6;1.066944376655840000;0.00568675305225040;0.0659244652801223;0.0003513736632876410;0.2389722215185820;;;
1040;341.3;1.070904052034860000;0.00570956226118905;0.0654299027917130;0.0003488418061571330;0.2381736287142340;;;
1040;343;1.074909197812070000;0.00573317143744627;0.0649327311640362;0.0003463273739054140;0.2373877848875010;;;
1040;344.7;1.078996806044520000;0.00575779497966344;0.0644328944500054;0.0003438299299044620;0.2366147014278910;;;
1040;346.4;1.083131876577410000;0.00578325853903825;0.0639303345687380;0.0003413486956607010;0.2358541654592120;;;
1040;348.1;1.087349025560720000;0.00580976355665072;0.0634249911873587;0.0003388830943138900;0.2351061132402400;;;
1040;349.8;1.091634942670470000;0.00583726106960653;0.0629168015941470;0.0003364327965457380;0.2343706661577910;;;
1040;351.5;1.095988725257600000;0.00586576017395652;0.0624057005622368;0.0003339969331343140;0.2336475848248060;;;
1040;353.2;1.100428049603310000;0.00589537745285889;0.0618916202029843;0.0003315750288236580;0.2329369187545250;;;
1040;354.9;1.104952896769400000;0.00592613533121777;0.0613744898080247;0.0003291665495879560;0.2322386944048070;;;
1040;356.6;1.109591055773320000;0.00595820264161427;0.0608542356789248;0.0003267707196169570;0.2315527865035560;;;
1040;358.3;1.114310203910650000;0.00599143150556490;0.0603307809432081;0.0003243869978305030;0.2308792555211880;;;
1040;360;1.119160598297380000;0.00602611723786148;0.0598040453553880;0.0003220147217103800;0.2302180989874090;;;
1040;361.7;1.124096053952940000;0.00606203868169262;0.0592739450814742;0.0003196532419421370;0.2295693488377310;;;
1040;363.4;1.129183553463750000;0.00609958904243575;0.0587403924652322;0.0003173020481304840;0.2289331652022160;;;
1040;365.1;1.134405947398300000;0.00613870099793466;0.0582032957742538;0.0003149601169422020;0.2283093694702280;;;
