P (kPa);T (K);cp (kJ/kg K);Pr;Condutividade térmica (W/m K);Viscosidade absoluta μ(cP);Viscosidade cinemática ν (cSt);;;Nome no Hysys: Refrig-1270
2760;532;2.448549857887280;0.00090919975081249700;0.044386453449226000;0.00001648165434961080;0.5865745410342550;;;
2760;537;2.462491562059940;0.00090954468290089600;0.044995641605614400;0.00001661956824813060;0.5985151690046850;;;
2760;542;2.476424102055500;0.00090992331109903000;0.045606567374222100;0.00001675742000676230;0.6105412207396550;;;
2760;547;2.490341670838830;0.00091033385936220700;0.046219073247897000;0.00001689518663988400;0.6226522493246600;;;
2760;552;2.504225126951380;0.00091076969252476000;0.046833002140397200;0.00001703284521042550;0.6348477405688930;;;
2760;557;2.518077029496180;0.00091123261118503900;0.047448197228990800;0.00001717038206160310;0.6471274639646440;;;
2760;562;2.531873644465910;0.00091171463111508800;0.048064501812751700;0.00001730777901801150;0.6594909687981950;;;
2760;567;2.545618314712480;0.00091221744784249200;0.048681759184727300;0.00001744501517109430;0.6719376458251900;;;
2760;572;2.559292681208710;0.00091273549147157900;0.049299812516398700;0.00001758207997741010;0.6844672336450420;;;
2760;577;2.572901618945380;0.00091327107842418600;0.049918504753070000;0.00001771895448060150;0.6970791031959070;;;
2760;582;2.586425567784130;0.00091381838415101800;0.050537678519002000;0.00001785563068128180;0.7097730121108590;;;
2760;587;2.599858972831690;0.00091437608794488300;0.051157176031256100;0.00001799209071668210;0.7225482925538590;;;
2760;592;2.613199239033920;0.00091494429941866700;0.051776839021347400;0.00001812832446790900;0.7354045467084750;;;
2760;597;2.626443057299220;0.00091552277734344600;0.052396508663916900;0.00001826432025692460;0.7483412826452320;;;
2760;602;2.639569139631750;0.00091610514593091300;0.053016025511726300;0.00001840006880625710;0.7613580761200650;;;
2760;607;2.652581850078200;0.00091669390581134400;0.053635229436365300;0.00001853555921739410;0.7744544084270840;;;
2760;612;2.665474797683470;0.00091728783381464000;0.054253959574128500;0.00001867078131703620;0.7876297630313350;;;
2760;617;2.678236317623960;0.00091788401420384900;0.054872054276584000;0.00001880572715543100;0.8008836916989820;;;
2760;622;2.690860336429150;0.00091848161431120900;0.055489351065406800;0.00001894039168575710;0.8142158489477580;;;
2760;627;2.703345427942660;0.00091908119053155100;0.056105686591098500;0.00001907476591586750;0.8276257014217080;;;
2760;632;2.715685758510040;0.00091968185334603700;0.056720896595253800;0.00001920884223835690;0.8411127540267620;;;
2760;637;2.727872903628850;0.00092028183392470900;0.057334815876072200;0.00001934261285853010;0.8546764838328410;;;
2760;642;2.739901255432100;0.00092088060160078300;0.057947278256841300;0.00001947607577334840;0.8683166068130290;;;
2760;647;2.751767102518260;0.00092147810970382500;0.058558116557148000;0.00001960922583292600;0.8820326877816620;;;
2760;652;2.763458725842440;0.00092207158249493400;0.059167162566597800;0.00001974205683238000;0.8958242295086810;;;
2760;657;2.774979782091520;0.00092266355078586700;0.059774247020841800;0.00001987456606268800;0.9096908793510680;;;
2760;662;2.786320512476340;0.00092325190119445900;0.060379199579731400;0.00002000674744882210;0.9236321197552110;;;
2760;667;2.797477523472750;0.00092383701578852600;0.060981848807437900;0.00002013860299030900;0.9376477946398020;;;
2760;672;2.808439417300110;0.00092441606565575800;0.061582022154387500;0.00002027012236205250;0.9517371678038470;;;
2760;677;2.819206520433420;0.00092499066283378500;0.062179545940876400;0.00002040130760115890;0.9659000678093990;;;
2760;682;2.829778307748630;0.00092556199459786500;0.062774245342241100;0.00002053215814441870;0.9801361982513280;;;
2760;687;2.840139092037650;0.00092612612888009500;0.063365944375473300;0.00002066266998394970;0.9944450922580430;;;
2760;692;2.850291142906550;0.00092668510849386500;0.063954465887172100;0.00002079284121792760;1.0088263753003700;;;
3220;345;3.179997374436110;0.00151863425566614000;0.026471476363409100;0.00001264167421228080;0.1534244620864260;;;
3220;349.9;2.825489139768600;0.00133849870192429000;0.026545226792668000;0.00001257507986995200;0.1641527895947410;;;
3220;354.8;2.631556796972190;0.00123714878935286000;0.026730059051240600;0.00001256634864678630;0.1740069253487910;;;
3220;359.7;2.509835580943030;0.00117117955310855000;0.026982680001545500;0.00001259108897245260;0.1833584821917750;;;
3220;364.6;2.427546522046130;0.00112449873108565000;0.027282130707196400;0.00001263774806494610;0.1923925258975460;;;
3220;369.5;2.353752016641080;0.00108241082628452000;0.027616460604581900;0.00001269987480869680;0.2012182214303440;;;
3220;374.4;2.313171092432410;0.00105608377185945000;0.027978131284911600;0.00001277348247763120;0.2099072716194930;;;
3220;379.3;2.283601920484810;0.00103510968039974000;0.028362143140806200;0.00001285597487836190;0.2185060416264440;;;
3220;384.2;2.262081834540640;0.00101804101157251000;0.028764946609582400;0.00001294555081832180;0.2270477805620940;;;
3220;389.1;2.246649454291500;0.00100392047586128000;0.029183916233096500;0.00001304090009069330;0.2355571226180190;;;
3220;394;2.235954736020120;0.00099209012259960900;0.029617045788601200;0.00001314104356144140;0.2440529302972010;;;
3220;398.9;2.229002296236360;0.00098206696215039900;0.030062760172537100;0.00001324522796874180;0.2525499443867320;;;
3220;403.8;2.225070933588590;0.00097350144460042000;0.030519793962594900;0.00001335286127870780;0.2610599083217930;;;
