P (kPa);T (K);Título;cp (kJ/kg K);Viscosidade absoluta μ(cP);Viscosidade cinemática ν (cSt)
1050;317;0;1.73341092521294;0.489848301572359;0.581482905817752
1050;320.5;0;1.74692187903343;0.472161448038072;0.56254852707654
1050;324;0;1.76064370390062;0.455410840979167;0.544601351360398
1050;327.5;0;1.77427143637323;0.43952925376827;0.527571156525491
1050;331;0;1.78787687834324;0.424455578469858;0.511394100175049
1050;334.5;0;1.80164576623143;0.410134167635203;0.496012037114598
1050;338;0;1.81531983436802;0.396513940345674;0.481371535992902
1050;341.5;0;1.82902912858488;0.383547948331456;0.467423434859648
1050;345;0;1.84277924187687;0.371193273729796;0.454122792881317
1050;348.5;0;1.85661898791345;0.359410342033779;0.441428123381507
1050;352;0;1.87035211269009;0.348163003124209;0.42930155656794
1050;355.5;0;1.88412690231282;0.337417457675391;0.417707577383532
1050;359;0;1.89796363613453;0.327142779718356;0.406613717565493
1050;362.5;0;1.91188309722926;0.317310522160655;0.395990120483896
1050;366;0;1.92581710607947;0.307894156019774;0.385808887576865
1050;369.5;0;1.93972558968168;0.298869037082124;0.376044072781928
1050;373;0;1.95371852493577;0.290212434178998;0.366671755059486
1050;376.5;0;1.96772631956829;0.28190334884551;0.357669848466524
1050;380;0;1.98176941230482;0.273922016232742;0.349017501731743
1050;383.5;0;1.99579182953271;0.266250157741999;0.340695444744927
1050;387;0;2.01003061009825;0.258870691590799;0.332685647657072
1050;390.5;0;2.02422994479228;0.251767861154729;0.324971510693578
1050;394;0;2.03845713752998;0.244926687368999;0.317537182971797
1050;397.5;0;2.05271818574416;0.238333347843589;0.310368070293296
1050;401;0;2.06716197828069;0.231974800380675;0.303450368421915
1050;404.5;0;2.08165407629937;0.225838995038636;0.296771357379735
1050;408;0;2.09612138327719;0.219914472019038;0.290318893295654
1050;411.5;0;2.11073093441533;0.21419052171943;0.284081632002058
1050;415;0;2.12542704358637;0.208657057484394;0.278048876268494
1050;418.5;0;2.14018571191567;0.203304687631551;0.27221068575374
1050;422;0;2.155162359091;0.198124504090162;0.266557609104199
1050;425.5;0;2.17010584318716;0.193108102258081;0.26108072109702
1050;429;0;2.18518904632555;0.188247596982948;0.255771655807372
1050;432.5;0;2.20037351760937;0.183535494582149;0.25062244441959
1050;436;0;2.21577012136605;0.17896479616303;0.245625665808671
1050;439.5;0;2.23127560714461;0.174528763257657;0.240774136120111
1050;443;0;2.24701996551026;0.170221137841217;0.236061219050934
1050;446.5;0;2.26283401803352;0.16603587428571;0.231480465711466
1050;450;0;2.27881657553318;0.161967330275784;0.22702588653497
1050;453.5;0;2.29510278330635;0.158010046701852;0.222691652984869
1050;457;0;2.31157673496975;0.154158951190394;0.218472390071571
1050;460.5;0;2.32819067034409;0.150409103276129;0.214362825712692
1050;464;0;2.34518746657625;0.146755842761759;0.210358006403215
1050;467.5;0;2.36237117498977;0.143194687656645;0.206453159596049
1050;471;0;2.37997366959624;0.139721355768995;0.202643730962799
1050;474.5;0;2.39782054744793;0.136331748216558;0.198925367812866
1050;478;0;2.41615122455522;0.133021937643736;0.195293909282753
1050;481.5;0;2.4347122125627;0.129788116172712;0.191745317200834
1050;485;0;2.45378662814975;0.126626631714606;0.188275736281435
1050;488.5;0;2.47336303466646;0.123533890929195;0.184881357740247
1050;492;0;2.49357429369855;0.120506488779522;0.181558619660595
1050;495.5;0;2.51429398259693;0.117541048585028;0.178303977217695
1050;499;0;2.53581889088374;0.114634278845625;0.175113995659189
1050;502.5;0;2.55806054650402;0.111782938115078;0.171985306947367
1050;506;0;2.58112542841952;0.10898386051116;0.168914660025249
1050;509.5;0;2.60517150830466;0.106233861481954;0.165898788185209
1050;513;0;2.63036901474427;0.103529801095761;0.162934520510831
1050;516.5;0;2.6568539882044;0.100868446424285;0.160018582546162
1050;520;0;2.6848042390424;0.0982465957192669;0.157147809381049
1050;523.5;0;2.71438012971087;0.0956609567692058;0.154318976985172
1400;280;0;1.5898274144326;0.758679885572061;0.867391805711314
1400;283.7;0;1.60405235458898;0.72282756227718;0.82938962396818
1400;287.4;0;1.61825202595642;0.689484218163324;0.794009558299336
1400;291.1;0;1.63254596527052;0.658418466159279;0.761011987151201
1400;294.8;0;1.64681901700395;0.629423915100133;0.730182888342533
1400;298.5;0;1.66114173243026;0.602318440162462;0.701333444594245
1400;302.2;0;1.67547149618207;0.576938030953336;0.674293306038426
1400;305.9;0;1.68972462482436;0.553136848545756;0.648910987865167
1400;309.6;0;1.70406315950494;0.53078386524114;0.625050255240876
1400;313.3;0;1.718469809997;0.509761122584861;0.602588340956345
1400;317;0;1.73281926422286;0.489962645811454;0.581414903027109
1400;320.7;0;1.74710270295557;0.471292605348124;0.561430063066769
1400;324.4;0;1.76152882239311;0.453664189968376;0.542543251637442
1400;328.1;0;1.77594263844766;0.436999338181288;0.524673058356354
1400;331.8;0;1.79033584345488;0.421226323414198;0.507744492901995
1400;335.5;0;1.80481158532183;0.406280809920362;0.491690382149615
1400;339.2;0;1.81925075793626;0.392103560796599;0.476448734124746
1400;342.9;0;1.83377179798768;0.378640724523672;0.461963184980962
1400;346.6;0;1.84826758269455;0.365843107204482;0.448182215283419
1400;350.3;0;1.86277186868405;0.353665706501765;0.435058669822649
1400;354;0;1.87737767829132;0.342067160895846;0.422549161726334
1400;357.7;0;1.89196071540177;0.331009416088445;0.410613731737621
1400;361.4;0;1.9065110581566;0.320457740135248;0.399215933990516
1400;365.1;0;1.92127165553966;0.310379855901505;0.388321820376481
1400;368.8;0;1.93581755645113;0.300746347902619;0.377900500611946
1400;372.5;0;1.9506329353055;0.291529686935069;0.367922973126249
